symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2020-01-02 00:00:00+00:00,1367.37,1368.14,1341.55,1341.55,1406731,68.3685,68.407,67.0775,67.0775,28134620,0.0,1.0
GOOG,2020-01-03 00:00:00+00:00,1360.66,1372.5,1345.544,1347.86,1187006,68.033,68.625,67.2772,67.393,23740120,0.0,1.0
GOOG,2020-01-06 00:00:00+00:00,1394.21,1396.5,1350.0,1350.0,1733149,69.7105,69.825,67.5,67.5,34662980,0.0,1.0
GOOG,2020-01-07 00:00:00+00:00,1393.34,1402.99,1390.38,1397.94,1511693,69.667,70.1495,69.519,69.897,30233860,0.0,1.0
GOOG,2020-01-08 00:00:00+00:00,1404.32,1411.58,1390.84,1392.08,1529177,70.216,70.579,69.542,69.604,30583540,0.0,1.0
GOOG,2020-01-09 00:00:00+00:00,1419.83,1427.33,1410.27,1420.57,1502664,70.9915,71.3665,70.5135,71.0285,30053280,0.0,1.0
GOOG,2020-01-10 00:00:00+00:00,1429.73,1434.929,1418.35,1427.56,1821566,71.4865,71.74645,70.9175,71.378,36431320,0.0,1.0
GOOG,2020-01-13 00:00:00+00:00,1439.23,1440.52,1426.02,1436.13,1378286,71.9615,72.026,71.301,71.8065,27565720,0.0,1.0
GOOG,2020-01-14 00:00:00+00:00,1430.88,1441.8,1428.37,1439.01,1560453,71.544,72.09,71.4185,71.9505,31209060,0.0,1.0
GOOG,2020-01-15 00:00:00+00:00,1439.2,1441.395,1430.21,1430.21,1282685,71.96,72.06975,71.5105,71.5105,25653700,0.0,1.0
GOOG,2020-01-16 00:00:00+00:00,1451.7,1451.99,1440.92,1447.44,1173688,72.585,72.5995,72.046,72.372,23473760,0.0,1.0
GOOG,2020-01-17 00:00:00+00:00,1480.39,1481.295,1458.22,1462.91,2396215,74.0195,74.06475,72.911,73.1455,47924300,0.0,1.0
GOOG,2020-01-21 00:00:00+00:00,1484.4,1491.85,1471.2,1479.12,2008830,74.22,74.5925,73.56,73.956,40176600,0.0,1.0
GOOG,2020-01-22 00:00:00+00:00,1485.95,1503.214,1484.93,1491.0,1610846,74.2975,75.1607,74.2465,74.55,32216920,0.0,1.0
GOOG,2020-01-23 00:00:00+00:00,1486.65,1495.52,1482.1,1487.64,1351354,74.3325,74.776,74.105,74.382,27027080,0.0,1.0
GOOG,2020-01-24 00:00:00+00:00,1466.71,1495.495,1465.25,1493.59,1784644,73.3355,74.77475,73.2625,74.6795,35692880,0.0,1.0
